ranking,score,title,emission_date,url,studio,themes,genres,demographics,emission_type,number_episode,members,first_emission,last_emission,Adult Cast,Anthropomorphic,CGDCT,Childcare,Combat Sports,Delinquents,Detective,Gag Humor,Gore,Historical,Isekai,Iyashikei,Love Polygon,Martial Arts,Mecha,Military,Music,Mythology,Not_available,Organized Crime,Parody,Performing Arts,Psychological,Reincarnation,Romantic Subtext,Samurai,School,Space,Strategy Game,Super Power,Survival,Team Sports,Time Travel,Vampire,Workplace,Action,Adventure,Award Winning,Comedy,Drama,Ecchi,Fantasy,Horror,Mystery,Not_available,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
1,9.13,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - 2023,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,MAPPA,"['Gore', 'Military', 'Survival']","['Action', 'Drama', 'Suspense']",Shounen,Special ,2,372149 ,2023-03-01,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,9.11,Fullmetal Alchemist: Brotherhood,Apr 2009 - Jul 2010,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Bones,['Military'],"['Action', 'Adventure', 'Drama', 'Fantasy']",Shounen,TV ,64,3120633 ,2009-04-01,2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,9.08,Bleach: Sennen Kessen-hen,Oct 2022 - Dec 2022,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,Pierrot,['Not_available'],"['Action', 'Adventure', 'Fantasy']",Shounen,TV ,13,411507 ,2022-10-01,2022-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,9.08,Steins;Gate,Apr 2011 - Sep 2011,https://myanimelist.net/anime/9253/Steins_Gate,White Fox,"['Psychological', 'Time Travel']","['Drama', 'Sci-Fi', 'Suspense']",,TV ,24,2401772 ,2011-04-01,2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
5,9.07,Gintama°,Apr 2015 - Mar 2016,https://myanimelist.net/anime/28977/Gintama°,Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,51,584278 ,2015-04-01,2016-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,9.06,Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,A-1 Pictures,['School'],"['Comedy', 'Romance']",Seinen,TV ,13,781203 ,2022-04-01,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,9.06,Shingeki no Kyojin Season 3 Part 2,Apr 2019 - Jul 2019,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Wit Studio,"['Gore', 'Military', 'Survival']","['Action', 'Drama']",Shounen,TV ,10,2056524 ,2019-04-01,2019-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,9.05,Gintama: The Final,Jan 2021 - Jan 2021,https://myanimelist.net/anime/39486/Gintama__The_Final,Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Drama', 'Sci-Fi']",Shounen,Movie ,1,127684 ,2021-01-01,2021-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
9,9.04,Gintama',Apr 2011 - Mar 2012,https://myanimelist.net/anime/9969/Gintama,Sunrise,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,51,515620 ,2011-04-01,2012-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10,9.04,Hunter x Hunter (2011),Oct 2011 - Sep 2014,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Madhouse,['Not_available'],"['Action', 'Adventure', 'Fantasy']",Shounen,TV ,148,2608214 ,2011-10-01,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,9.03,Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,K-Factory,"['Adult Cast', 'Military', 'Space']","['Drama', 'Sci-Fi']",,OVA ,110,300783 ,1988-01-01,1997-03-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,9.03,Gintama': Enchousen,Oct 2012 - Mar 2013,https://myanimelist.net/anime/15417/Gintama__Enchousen,Sunrise,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,13,304250 ,2012-10-01,2013-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,9.01,Fruits Basket: The Final,Apr 2021 - Jun 2021,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,TMS Entertainment,['Not_available'],"['Drama', 'Romance', 'Supernatural']",Shoujo,TV ,13,416287 ,2021-04-01,2021-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
14,8.99,Gintama.,Jan 2017 - Mar 2017,https://myanimelist.net/anime/34096/Gintama,Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,12,292511 ,2017-01-01,2017-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15,8.94,3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,Shaft,"['Childcare', 'Iyashikei', 'Strategy Game']",['Drama'],Seinen,TV ,22,377876 ,2017-10-01,2018-03-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,8.94,Gintama,Apr 2006 - Mar 2010,https://myanimelist.net/anime/918/Gintama,Sunrise,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,201,1009984 ,2006-04-01,2010-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
17,8.94,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,A-1 Pictures,['School'],"['Comedy', 'Drama', 'Romance']",Seinen,Movie ,1,119616 ,2022-12-01,2022-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
18,8.94,Koe no Katachi,Sep 2016 - Sep 2016,https://myanimelist.net/anime/28851/Koe_no_Katachi,Kyoto Animation,['Romantic Subtext'],"['Award Winning', 'Drama']",Shounen,Movie ,1,2152705 ,2016-09-01,2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
19,8.93,Clannad: After Story,Oct 2008 - Mar 2009,https://myanimelist.net/anime/4181/Clannad__After_Story,Kyoto Animation,['Not_available'],"['Drama', 'Romance', 'Supernatural']",,TV ,24,1136990 ,2008-10-01,2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
20,8.92,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,Sunrise,"['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']","['Action', 'Comedy', 'Sci-Fi']",Shounen,Movie ,1,225828 ,2013-07-01,2013-07-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
21,8.91,Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,Sunrise,"['Mecha', 'Military', 'Super Power']","['Action', 'Award Winning', 'Drama', 'Sci-Fi']",,TV ,25,1675969 ,2008-04-01,2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
22,8.91,Violet Evergarden Movie,Sep 2020 - Sep 2020,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,Kyoto Animation,['Not_available'],"['Award Winning', 'Drama', 'Fantasy']",,Movie ,1,528669 ,2020-09-01,2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
23,8.89,Bocchi the Rock!,Oct 2022 - Dec 2022,https://myanimelist.net/anime/47917/Bocchi_the_Rock,CloverWorks,"['CGDCT', 'Music']",['Comedy'],,TV ,12,370595 ,2022-10-01,2022-12-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,8.88,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,14,181735 ,2018-07-01,2018-10-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
25,8.88,Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,Shaft,['Vampire'],"['Comedy', 'Mystery', 'Supernatural']",,TV ,7,374580 ,2017-08-01,2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26,8.86,Monster,Apr 2004 - Sep 2005,https://myanimelist.net/anime/19/Monster,Madhouse,"['Adult Cast', 'Psychological']","['Drama', 'Mystery', 'Suspense']",Seinen,TV ,74,980693 ,2004-04-01,2005-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
27,8.85,Kimi no Na wa.,Aug 2016 - Aug 2016,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,CoMix Wave Films,['Romantic Subtext'],"['Award Winning', 'Drama', 'Supernatural']",,Movie ,1,2551186 ,2016-08-01,2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
28,8.81,Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']","['Action', 'Comedy', 'Sci-Fi']",Shounen,TV ,12,196172 ,2018-01-01,2018-03-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,8.81,Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,ufotable,['Historical'],"['Action', 'Fantasy']",Shounen,TV ,11,1175847 ,2021-12-01,2022-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,8.81,Kingdom 3rd Season,Apr 2020 - Oct 2021,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,Pierrot,"['Historical', 'Military']",['Action'],Seinen,TV ,26,88036 ,2020-04-01,2021-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8.8,Mob Psycho 100 II,Jan 2019 - Apr 2019,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Bones,['Super Power'],"['Action', 'Comedy', 'Supernatural']",,TV ,13,1403424 ,2019-01-01,2019-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,8.8,Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,MAPPA,"['Gore', 'Military', 'Survival']","['Action', 'Drama']",Shounen,TV ,16,1803577 ,2020-12-01,2021-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,8.79,Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,Shaft,['Vampire'],"['Action', 'Mystery', 'Supernatural']",,Movie ,1,433456 ,2017-01-01,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,8.78,Sen to Chihiro no Kamikakushi,Jul 2001 - Jul 2001,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,Studio Ghibli,['Mythology'],"['Adventure', 'Award Winning', 'Supernatural']",,Movie ,1,1732746 ,2001-07-01,2001-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,8.78,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,Production I.G,"['School', 'Team Sports']",['Sports'],Shounen,TV ,10,1123487 ,2016-10-01,2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,8.77,Monogatari Series: Second Season,Jul 2013 - Dec 2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season,Shaft,['Vampire'],"['Comedy', 'Mystery', 'Romance', 'Supernatural']",,TV ,26,640959 ,2013-07-01,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
37,8.77,Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,MAPPA,"['Gore', 'Military', 'Survival']","['Action', 'Drama']",Shounen,TV ,12,1089424 ,2022-01-01,2022-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,8.76,Hajime no Ippo,Oct 2000 - Mar 2002,https://myanimelist.net/anime/263/Hajime_no_Ippo,Madhouse,['Combat Sports'],['Sports'],Shounen,TV ,75,533974 ,2000-10-01,2002-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,8.75,Cowboy Bebop,Apr 1998 - Apr 1999,https://myanimelist.net/anime/1/Cowboy_Bebop,Sunrise,"['Adult Cast', 'Space']","['Action', 'Award Winning', 'Sci-Fi']",,TV ,26,1744074 ,1998-04-01,1999-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,8.75,Kingdom 4th Season,Apr 2022 - Oct 2022,https://myanimelist.net/anime/50160/Kingdom_4th_Season,Pierrot,"['Historical', 'Military']",['Action'],Seinen,TV ,26,50837 ,2022-04-01,2022-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,8.74,Shiguang Dailiren,Apr 2021 - Jul 2021,https://myanimelist.net/anime/44074/Shiguang_Dailiren,Studio LAN,"['Adult Cast', 'Time Travel']","['Drama', 'Supernatural']",,ONA ,11,282944 ,2021-04-01,2021-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,8.73,Mob Psycho 100 III,Oct 2022 - Dec 2022,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,Bones,['Super Power'],"['Action', 'Comedy', 'Supernatural']",,TV ,12,533907 ,2022-10-01,2022-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
43,8.73,Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,Artland,"['Adult Cast', 'Historical', 'Iyashikei']","['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",Seinen,TV ,10,251446 ,2014-10-01,2014-12-01,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
44,8.73,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,Studio Deen,"['Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts']",['Drama'],Josei,TV ,12,178616 ,2017-01-01,2017-03-01,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,8.73,Vinland Saga,Jul 2019 - Dec 2019,https://myanimelist.net/anime/37521/Vinland_Saga,Wit Studio,"['Gore', 'Historical']","['Action', 'Adventure', 'Drama']",Seinen,TV ,24,1306020 ,2019-07-01,2019-12-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,8.71,86 Part 2,Oct 2021 - Mar 2022,https://myanimelist.net/anime/48569/86_Part_2,A-1 Pictures,"['Mecha', 'Military']","['Action', 'Drama', 'Sci-Fi']",,TV ,12,411744 ,2021-10-01,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,8.71,Ashita no Joe 2,Oct 1980 - Aug 1981,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,Tokyo Movie Shinsha,['Combat Sports'],"['Drama', 'Sports']",Shounen,TV ,47,46688 ,1980-10-01,1981-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Feb 1999 - Sep 1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,Studio Deen,"['Adult Cast', 'Historical', 'Martial Arts', 'Samurai']","['Action', 'Drama', 'Romance']",Shounen,OVA ,4,266605 ,1999-02-01,1999-09-01,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
